item_code,item_name
0,all items
1,chicken drumstick
2,sweet potato
3,chocolate ice cream
4,cereal
5,maple syrup
6,oatmeal
7,pancake mix
8,waffles
9,white bread
10,whole grain bread
11,alfredo sauce
12,marinara sauce
13,almond butter
14,balsamic vinegar
15,barbecue sauce
16,balsamic dressing
17,caesar dressing
18,ranch dressing
19,enchilada sauce
20,milk
21,honey
22,hot sauce
23,hummus
24,jam
25,ketchup
26,relish
27,mayonnaise
28,mustard
29,olive oil
30,peanut butter
31,pesto
32,pickles
33,salsa
34,butter
35,cheddar cheese
36,parmesan cheese
37,mozzarella cheese
38,ricotta cheese
39,greek yogurt
40,yogurt
41,cauliflower crust
42,chicken broth
43,chicken noodle soup
44,chili
45,tomato soup
46,frozen burgers
47,chicken wings
48,chicken nuggets
49,egg roll
50,french fries
51,pizza
52,taquitos
53,hot dogs
54,sausage
55,italian pasta
56,pasta
57,macaroni and cheese
58,ravioli
59,tortellini
60,taco shells
61,tortillas
62,veggie burgers
63,almond milk
64,apple juice
65,canola oil
66,vegetable oil
67,coconut
68,coconut water
69,coffee
70,lemonade
71,orange juice
72,potato chips
73,pringles
74,onion
75,doritos
76,potato chips
77,protein bar
78,granola
79,pita chips
80,crackers
81,popcorn
82,pretzels
83,tortilla chips
84,brownie mix
85,chocolate chips
86,caramel sauce
87,chocolate sauce
88,strawberry
89,mint
90,vanilla ice cream
91,apple
92,cinnamon roll
93,oats
94,chocolate cake
95,vanilla cake
96,birthday cake
97,marshmello
98,green tea
99,tea
