Store,Item,Date,Weekly_Demand
3,1,2/7/2010,19
3,1,2/14/2010,58
3,1,2/21/2010,55
3,1,2/28/2010,47
3,1,3/7/2010,19
3,1,3/14/2010,20
3,1,3/21/2010,47
3,1,3/28/2010,0
3,1,4/4/2010,29
3,1,4/11/2010,19
3,1,4/18/2010,0
3,1,4/25/2010,20
3,1,5/2/2010,20
3,1,5/9/2010,20
3,1,5/16/2010,21
3,1,5/23/2010,33
3,1,5/30/2010,31
3,1,6/6/2010,0
3,1,6/13/2010,42
3,1,6/20/2010,31
3,1,6/27/2010,64
3,1,7/4/2010,38
3,1,7/11/2010,37
3,1,7/18/2010,37
3,1,7/25/2010,0
3,1,8/1/2010,19
3,1,8/8/2010,18
3,1,8/15/2010,28
3,1,8/22/2010,55
3,1,8/29/2010,37
3,1,9/5/2010,56
3,1,9/12/2010,35
3,1,9/19/2010,35
3,1,9/26/2010,17
3,1,10/3/2010,35
3,1,10/10/2010,36
3,1,10/17/2010,34
3,1,10/24/2010,25
3,1,10/31/2010,0
3,1,11/7/2010,51
3,1,11/14/2010,50
3,1,11/21/2010,67
3,1,11/28/2010,17
3,1,12/5/2010,42
3,1,12/12/2010,17
3,1,12/19/2010,19
3,1,12/26/2010,0
3,1,1/2/2011,25
3,1,1/9/2011,56
3,1,1/16/2011,49
3,1,1/23/2011,25
3,1,1/30/2011,23
3,1,2/6/2011,50
3,1,2/13/2011,17
3,1,2/20/2011,42
3,1,2/27/2011,25
3,1,3/6/2011,32
3,1,3/13/2011,35
3,1,3/20/2011,16
3,1,3/27/2011,49
3,1,4/3/2011,32
3,1,4/10/2011,41
3,1,4/17/2011,0
3,1,4/24/2011,33
3,1,5/1/2011,25
3,1,5/8/2011,17
3,1,5/15/2011,58
3,1,5/22/2011,34
3,1,5/29/2011,17
3,1,6/5/2011,33
3,1,6/12/2011,17
3,1,6/19/2011,50
3,1,6/26/2011,19
3,1,7/3/2011,18
3,1,7/10/2011,46
3,1,7/17/2011,27
3,1,7/24/2011,18
3,1,7/31/2011,37
3,1,8/7/2011,61
3,1,8/14/2011,26
3,1,8/21/2011,42
3,1,8/28/2011,42
3,1,9/4/2011,100
3,1,9/11/2011,47
3,1,9/18/2011,31
3,1,9/25/2011,70
3,1,10/2/2011,0
3,1,10/9/2011,23
3,1,10/16/2011,53
3,1,10/23/2011,15
3,1,10/30/2011,53
3,1,11/6/2011,22
3,1,11/13/2011,30
3,1,11/20/2011,45
3,1,11/27/2011,44
3,1,12/4/2011,30
3,1,12/11/2011,45
3,1,12/18/2011,48
3,1,12/25/2011,17
3,1,1/1/2012,15
3,1,1/8/2012,78
3,1,1/15/2012,62
3,1,1/22/2012,62
3,1,1/29/2012,70
3,1,2/5/2012,98
3,1,2/12/2012,56
3,1,2/19/2012,43
3,1,2/26/2012,28
3,1,3/4/2012,48
3,1,3/11/2012,29
3,1,3/18/2012,36
3,1,3/25/2012,35
3,1,4/1/2012,52
3,1,4/8/2012,60
3,1,4/15/2012,14
3,1,4/22/2012,71
3,1,4/29/2012,29
3,1,5/6/2012,59
3,1,5/13/2012,68
3,1,5/20/2012,16
3,1,5/27/2012,43
3,1,6/3/2012,49
3,1,6/10/2012,35
3,1,6/17/2012,64
3,1,6/24/2012,15
3,1,7/1/2012,30
3,1,7/8/2012,14
3,1,7/15/2012,42
3,1,7/22/2012,21
3,1,7/29/2012,58
3,1,8/5/2012,57
3,1,8/12/2012,35
3,1,8/19/2012,29
3,1,8/26/2012,57
3,1,9/2/2012,56
3,1,9/9/2012,39
3,1,9/16/2012,26
3,1,9/23/2012,39
3,1,9/30/2012,19
3,1,10/7/2012,26
3,1,10/14/2012,49
3,1,10/21/2012,63
3,1,10/28/2012,25
3,2,2/7/2010,29
3,2,2/14/2010,25
3,2,2/21/2010,25
3,2,2/28/2010,22
3,2,3/7/2010,28
3,2,3/14/2010,22
3,2,3/21/2010,26
3,2,3/28/2010,45
3,2,4/4/2010,29
3,2,4/11/2010,29
3,2,4/18/2010,22
3,2,4/25/2010,24
3,2,5/2/2010,23
3,2,5/9/2010,24
3,2,5/16/2010,24
3,2,5/23/2010,19
3,2,5/30/2010,22
3,2,6/6/2010,23
3,2,6/13/2010,17
3,2,6/20/2010,20
3,2,6/27/2010,20
3,2,7/4/2010,16
3,2,7/11/2010,16
3,2,7/18/2010,19
3,2,7/25/2010,13
3,2,8/1/2010,18
3,2,8/8/2010,18
3,2,8/15/2010,20
3,2,8/22/2010,21
3,2,8/29/2010,24
3,2,9/5/2010,25
3,2,9/12/2010,24
3,2,9/19/2010,22
3,2,9/26/2010,26
3,2,10/3/2010,79
3,2,10/10/2010,56
3,2,10/17/2010,34
3,2,10/24/2010,38
3,2,10/31/2010,31
3,2,11/7/2010,35
3,2,11/14/2010,48
3,2,11/21/2010,90
3,2,11/28/2010,40
3,2,12/5/2010,29
3,2,12/12/2010,30
3,2,12/19/2010,67
3,2,12/26/2010,28
3,2,1/2/2011,36
3,2,1/9/2011,35
3,2,1/16/2011,39
3,2,1/23/2011,41
3,2,1/30/2011,35
3,2,2/6/2011,39
3,2,2/13/2011,34
3,2,2/20/2011,39
3,2,2/27/2011,28
3,2,3/6/2011,33
3,2,3/13/2011,31
3,2,3/20/2011,30
3,2,3/27/2011,27
3,2,4/3/2011,22
3,2,4/10/2011,29
3,2,4/17/2011,52
3,2,4/24/2011,45
3,2,5/1/2011,27
3,2,5/8/2011,29
3,2,5/15/2011,30
3,2,5/22/2011,38
3,2,5/29/2011,32
3,2,6/5/2011,28
3,2,6/12/2011,24
3,2,6/19/2011,22
3,2,6/26/2011,23
3,2,7/3/2011,25
3,2,7/10/2011,27
3,2,7/17/2011,28
3,2,7/24/2011,22
3,2,7/31/2011,28
3,2,8/7/2011,28
3,2,8/14/2011,28
3,2,8/21/2011,28
3,2,8/28/2011,23
3,2,9/4/2011,34
3,2,9/11/2011,30
3,2,9/18/2011,25
3,2,9/25/2011,36
3,2,10/2/2011,82
3,2,10/9/2011,78
3,2,10/16/2011,49
3,2,10/23/2011,38
3,2,10/30/2011,40
3,2,11/6/2011,41
3,2,11/13/2011,38
3,2,11/20/2011,51
3,2,11/27/2011,44
3,2,12/4/2011,41
3,2,12/11/2011,45
3,2,12/18/2011,67
3,2,12/25/2011,49
3,2,1/1/2012,47
3,2,1/8/2012,53
3,2,1/15/2012,51
3,2,1/22/2012,44
3,2,1/29/2012,42
3,2,2/5/2012,40
3,2,2/12/2012,56
3,2,2/19/2012,45
3,2,2/26/2012,46
3,2,3/4/2012,37
3,2,3/11/2012,37
3,2,3/18/2012,38
3,2,3/25/2012,35
3,2,4/1/2012,54
3,2,4/8/2012,42
3,2,4/15/2012,42
3,2,4/22/2012,49
3,2,4/29/2012,34
3,2,5/6/2012,35
3,2,5/13/2012,35
3,2,5/20/2012,31
3,2,5/27/2012,41
3,2,6/3/2012,37
3,2,6/10/2012,28
3,2,6/17/2012,34
3,2,6/24/2012,30
3,2,7/1/2012,30
3,2,7/8/2012,36
3,2,7/15/2012,38
3,2,7/22/2012,29
3,2,7/29/2012,31
3,2,8/5/2012,33
3,2,8/12/2012,30
3,2,8/19/2012,32
3,2,8/26/2012,32
3,2,9/2/2012,33
3,2,9/9/2012,29
3,2,9/16/2012,40
3,2,9/23/2012,58
3,2,9/30/2012,100
3,2,10/7/2012,95
3,2,10/14/2012,57
3,2,10/21/2012,48
3,2,10/28/2012,41
3,3,2/7/2010,28
3,3,2/14/2010,35
3,3,2/21/2010,56
3,3,2/28/2010,28
3,3,3/7/2010,40
3,3,3/14/2010,63
3,3,3/21/2010,52
3,3,3/28/2010,67
3,3,4/4/2010,29
3,3,4/11/2010,52
3,3,4/18/2010,61
3,3,4/25/2010,41
3,3,5/2/2010,82
3,3,5/9/2010,42
3,3,5/16/2010,38
3,3,5/23/2010,61
3,3,5/30/2010,51
3,3,6/6/2010,37
3,3,6/13/2010,76
3,3,6/20/2010,38
3,3,6/27/2010,33
3,3,7/4/2010,63
3,3,7/11/2010,40
3,3,7/18/2010,62
3,3,7/25/2010,86
3,3,8/1/2010,52
3,3,8/8/2010,39
3,3,8/15/2010,40
3,3,8/22/2010,62
3,3,8/29/2010,45
3,3,9/5/2010,43
3,3,9/12/2010,33
3,3,9/19/2010,32
3,3,9/26/2010,52
3,3,10/3/2010,32
3,3,10/10/2010,49
3,3,10/17/2010,46
3,3,10/24/2010,35
3,3,10/31/2010,46
3,3,11/7/2010,31
3,3,11/14/2010,26
3,3,11/21/2010,15
3,3,11/28/2010,30
3,3,12/5/2010,56
3,3,12/12/2010,37
3,3,12/19/2010,65
3,3,12/26/2010,37
3,3,1/2/2011,68
3,3,1/9/2011,34
3,3,1/16/2011,70
3,3,1/23/2011,30
3,3,1/30/2011,14
3,3,2/6/2011,38
3,3,2/13/2011,66
3,3,2/20/2011,47
3,3,2/27/2011,35
3,3,3/6/2011,30
3,3,3/13/2011,21
3,3,3/20/2011,64
3,3,3/27/2011,50
3,3,4/3/2011,40
3,3,4/10/2011,35
3,3,4/17/2011,46
3,3,4/24/2011,46
3,3,5/1/2011,45
3,3,5/8/2011,26
3,3,5/15/2011,41
3,3,5/22/2011,57
3,3,5/29/2011,39
3,3,6/5/2011,41
3,3,6/12/2011,61
3,3,6/19/2011,90
3,3,6/26/2011,75
3,3,7/3/2011,50
3,3,7/10/2011,45
3,3,7/17/2011,60
3,3,7/24/2011,60
3,3,7/31/2011,34
3,3,8/7/2011,48
3,3,8/14/2011,80
3,3,8/21/2011,51
3,3,8/28/2011,71
3,3,9/4/2011,51
3,3,9/11/2011,29
3,3,9/18/2011,48
3,3,9/25/2011,62
3,3,10/2/2011,24
3,3,10/9/2011,36
3,3,10/16/2011,28
3,3,10/23/2011,37
3,3,10/30/2011,28
3,3,11/6/2011,45
3,3,11/13/2011,40
3,3,11/20/2011,32
3,3,11/27/2011,36
3,3,12/4/2011,41
3,3,12/11/2011,46
3,3,12/18/2011,34
3,3,12/25/2011,43
3,3,1/1/2012,37
3,3,1/8/2012,30
3,3,1/15/2012,21
3,3,1/22/2012,17
3,3,1/29/2012,39
3,3,2/5/2012,42
3,3,2/12/2012,34
3,3,2/19/2012,49
3,3,2/26/2012,34
3,3,3/4/2012,38
3,3,3/11/2012,35
3,3,3/18/2012,53
3,3,3/25/2012,48
3,3,4/1/2012,72
3,3,4/8/2012,59
3,3,4/15/2012,39
3,3,4/22/2012,74
3,3,4/29/2012,22
3,3,5/6/2012,67
3,3,5/13/2012,46
3,3,5/20/2012,62
3,3,5/27/2012,70
3,3,6/3/2012,64
3,3,6/10/2012,73
3,3,6/17/2012,78
3,3,6/24/2012,63
3,3,7/1/2012,100
3,3,7/8/2012,65
3,3,7/15/2012,73
3,3,7/22/2012,39
3,3,7/29/2012,79
3,3,8/5/2012,44
3,3,8/12/2012,60
3,3,8/19/2012,30
3,3,8/26/2012,48
3,3,9/2/2012,56
3,3,9/9/2012,28
3,3,9/16/2012,43
3,3,9/23/2012,12
3,3,9/30/2012,39
3,3,10/7/2012,44
3,3,10/14/2012,68
3,3,10/21/2012,42
3,3,10/28/2012,26
3,4,2/7/2010,66
3,4,2/14/2010,59
3,4,2/21/2010,52
3,4,2/28/2010,64
3,4,3/7/2010,73
3,4,3/14/2010,48
3,4,3/21/2010,69
3,4,3/28/2010,60
3,4,4/4/2010,80
3,4,4/11/2010,73
3,4,4/18/2010,51
3,4,4/25/2010,59
3,4,5/2/2010,44
3,4,5/9/2010,50
3,4,5/16/2010,59
3,4,5/23/2010,55
3,4,5/30/2010,51
3,4,6/6/2010,55
3,4,6/13/2010,57
3,4,6/20/2010,45
3,4,6/27/2010,42
3,4,7/4/2010,53
3,4,7/11/2010,35
3,4,7/18/2010,60
3,4,7/25/2010,43
3,4,8/1/2010,52
3,4,8/8/2010,54
3,4,8/15/2010,44
3,4,8/22/2010,59
3,4,8/29/2010,38
3,4,9/5/2010,51
3,4,9/12/2010,50
3,4,9/19/2010,38
3,4,9/26/2010,63
3,4,10/3/2010,53
3,4,10/10/2010,67
3,4,10/17/2010,43
3,4,10/24/2010,54
3,4,10/31/2010,56
3,4,11/7/2010,58
3,4,11/14/2010,98
3,4,11/21/2010,100
3,4,11/28/2010,69
3,4,12/5/2010,61
3,4,12/12/2010,61
3,4,12/19/2010,53
3,4,12/26/2010,46
3,4,1/2/2011,62
3,4,1/9/2011,71
3,4,1/16/2011,79
3,4,1/23/2011,86
3,4,1/30/2011,60
3,4,2/6/2011,70
3,4,2/13/2011,70
3,4,2/20/2011,68
3,4,2/27/2011,69
3,4,3/6/2011,92
3,4,3/13/2011,65
3,4,3/20/2011,80
3,4,3/27/2011,66
3,4,4/3/2011,70
3,4,4/10/2011,65
3,4,4/17/2011,67
3,4,4/24/2011,61
3,4,5/1/2011,62
3,4,5/8/2011,54
3,4,5/15/2011,80
3,4,5/22/2011,59
3,4,5/29/2011,52
3,4,6/5/2011,53
3,4,6/12/2011,51
3,4,6/19/2011,47
3,4,6/26/2011,46
3,4,7/3/2011,42
3,4,7/10/2011,60
3,4,7/17/2011,83
3,4,7/24/2011,66
3,4,7/31/2011,61
3,4,8/7/2011,51
3,4,8/14/2011,59
3,4,8/21/2011,48
3,4,8/28/2011,61
3,4,9/4/2011,49
3,4,9/11/2011,46
3,4,9/18/2011,53
3,4,9/25/2011,76
3,4,10/2/2011,59
3,4,10/9/2011,69
3,4,10/16/2011,60
3,4,10/23/2011,70
3,4,10/30/2011,62
3,4,11/6/2011,70
3,4,11/13/2011,80
3,4,11/20/2011,76
3,4,11/27/2011,66
3,4,12/4/2011,77
3,4,12/11/2011,50
3,4,12/18/2011,55
3,4,12/25/2011,47
3,4,1/1/2012,64
3,4,1/8/2012,76
3,4,1/15/2012,89
3,4,1/22/2012,74
3,4,1/29/2012,77
3,4,2/5/2012,87
3,4,2/12/2012,77
3,4,2/19/2012,74
3,4,2/26/2012,83
3,4,3/4/2012,74
3,4,3/11/2012,77
3,4,3/18/2012,67
3,4,3/25/2012,59
3,4,4/1/2012,90
3,4,4/8/2012,78
3,4,4/15/2012,76
3,4,4/22/2012,72
3,4,4/29/2012,85
3,4,5/6/2012,79
3,4,5/13/2012,77
3,4,5/20/2012,72
3,4,5/27/2012,66
3,4,6/3/2012,61
3,4,6/10/2012,72
3,4,6/17/2012,69
3,4,6/24/2012,58
3,4,7/1/2012,54
3,4,7/8/2012,75
3,4,7/15/2012,55
3,4,7/22/2012,64
3,4,7/29/2012,72
3,4,8/5/2012,76
3,4,8/12/2012,67
3,4,8/19/2012,72
3,4,8/26/2012,68
3,4,9/2/2012,56
3,4,9/9/2012,63
3,4,9/16/2012,77
3,4,9/23/2012,61
3,4,9/30/2012,63
3,4,10/7/2012,78
3,4,10/14/2012,79
3,4,10/21/2012,61
3,4,10/28/2012,69
3,5,2/7/2010,18
3,5,2/14/2010,24
3,5,2/21/2010,22
3,5,2/28/2010,44
3,5,3/7/2010,60
3,5,3/14/2010,74
3,5,3/21/2010,68
3,5,3/28/2010,39
3,5,4/4/2010,24
3,5,4/11/2010,17
3,5,4/18/2010,13
3,5,4/25/2010,14
3,5,5/2/2010,11
3,5,5/9/2010,11
3,5,5/16/2010,9
3,5,5/23/2010,9
3,5,5/30/2010,9
3,5,6/6/2010,8
3,5,6/13/2010,9
3,5,6/20/2010,7
3,5,6/27/2010,9
3,5,7/4/2010,7
3,5,7/11/2010,8
3,5,7/18/2010,9
3,5,7/25/2010,8
3,5,8/1/2010,10
3,5,8/8/2010,9
3,5,8/15/2010,8
3,5,8/22/2010,6
3,5,8/29/2010,6
3,5,9/5/2010,6
3,5,9/12/2010,9
3,5,9/19/2010,11
3,5,9/26/2010,10
3,5,10/3/2010,11
3,5,10/10/2010,11
3,5,10/17/2010,9
3,5,10/24/2010,10
3,5,10/31/2010,11
3,5,11/7/2010,10
3,5,11/14/2010,12
3,5,11/21/2010,10
3,5,11/28/2010,9
3,5,12/5/2010,9
3,5,12/12/2010,11
3,5,12/19/2010,10
3,5,12/26/2010,10
3,5,1/2/2011,14
3,5,1/9/2011,14
3,5,1/16/2011,14
3,5,1/23/2011,14
3,5,1/30/2011,18
3,5,2/6/2011,20
3,5,2/13/2011,25
3,5,2/20/2011,27
3,5,2/27/2011,37
3,5,3/6/2011,51
3,5,3/13/2011,100
3,5,3/20/2011,71
3,5,3/27/2011,97
3,5,4/3/2011,60
3,5,4/10/2011,42
3,5,4/17/2011,26
3,5,4/24/2011,19
3,5,5/1/2011,16
3,5,5/8/2011,16
3,5,5/15/2011,12
3,5,5/22/2011,11
3,5,5/29/2011,13
3,5,6/5/2011,9
3,5,6/12/2011,13
3,5,6/19/2011,11
