Store,Item,Date,Weekly_Demand
2,2,2011-06-19,23
2,2,2011-06-26,26
2,2,2011-07-03,23
2,2,2011-07-10,26
2,2,2011-07-17,28
2,2,2011-07-24,26
2,2,2011-07-31,30
2,2,2011-08-07,26
2,2,2011-08-14,26
2,2,2011-08-21,27
2,2,2011-08-28,25
2,2,2011-09-04,33
2,2,2011-09-11,29
2,2,2011-09-18,30
2,2,2011-09-25,37
2,2,2011-10-02,80
2,2,2011-10-09,77
2,2,2011-10-16,47
2,2,2011-10-23,38
2,2,2011-10-30,38
2,2,2011-11-06,42
2,2,2011-11-13,37
2,2,2011-11-20,51
2,2,2011-11-27,46
2,2,2011-12-04,42
2,2,2011-12-11,43
2,2,2011-12-18,67
2,2,2011-12-25,47
2,2,2012-01-01,44
2,2,2012-01-08,52
2,2,2012-01-15,51
2,2,2012-01-22,48
2,2,2012-01-29,45
2,2,2012-02-05,40
2,2,2012-02-12,51
2,2,2012-02-19,50
2,2,2012-02-26,46
2,2,2012-03-04,39
2,2,2012-03-11,42
2,2,2012-03-18,39
2,2,2012-03-25,41
2,2,2012-04-01,53
2,2,2012-04-08,45
2,2,2012-04-15,44
2,2,2012-04-22,49
2,2,2012-04-29,35
2,2,2012-05-06,38
2,2,2012-05-13,35
2,2,2012-05-20,32
2,2,2012-05-27,42
2,2,2012-06-03,37
2,2,2012-06-10,31
2,2,2012-06-17,33
2,2,2012-06-24,33
2,2,2012-07-01,30
2,2,2012-07-08,34
2,2,2012-07-15,37
2,2,2012-07-22,31
2,2,2012-07-29,35
2,2,2012-08-05,32
2,2,2012-08-12,29
2,2,2012-08-19,30
2,2,2012-08-26,31
2,2,2012-09-02,33
2,2,2012-09-09,36
2,2,2012-09-16,45
2,2,2012-09-23,55
2,2,2012-09-30,99
2,2,2012-10-07,95
2,2,2012-10-14,55
2,2,2012-10-21,47
2,2,2012-10-28,41
2,3,2010-02-07,28
2,3,2010-02-14,35
2,3,2010-02-21,56
2,3,2010-02-28,28
2,3,2010-03-07,40
2,3,2010-03-14,63
2,3,2010-03-21,52
2,3,2010-03-28,67
2,3,2010-04-04,29
2,3,2010-04-11,52
2,3,2010-04-18,61
2,3,2010-04-25,41
2,3,2010-05-02,82
2,3,2010-05-09,42
2,3,2010-05-16,38
2,3,2010-05-23,61
2,3,2010-05-30,51
2,3,2010-06-06,37
2,3,2010-06-13,76
2,3,2010-06-20,38
2,3,2010-06-27,33
2,3,2010-07-04,63
2,3,2010-07-11,40
2,3,2010-07-18,62
2,3,2010-07-25,86
2,3,2010-08-01,52
2,3,2010-08-08,39
2,3,2010-08-15,40
2,3,2010-08-22,62
2,3,2010-08-29,45
2,3,2010-09-05,43
2,3,2010-09-12,33
